broadband_robust_z,classification,confidence,confidence_score,frame_30fps,kick_ratio,low_band_robust_z,snare_band_robust_z,snare_ratio,source,time_ms
7.379,snare,high,0.95,4991,0.241,2.436,7.681,0.759,MIXED_MASTER_ONLY,166380
6.952,snare,high,0.95,5003,0.259,2.502,7.146,0.741,MIXED_MASTER_ONLY,166780
7.921,snare,high,0.95,5015,0.142,1.144,6.921,0.858,MIXED_MASTER_ONLY,167180
6.879,snare,high,0.95,5033,0.264,2.423,6.765,0.736,MIXED_MASTER_ONLY,167780
3.851,snare,high,0.87,5040,0.258,1.055,3.029,0.742,MIXED_MASTER_ONLY,167990
3.01,snare,high,0.95,5046,0.0,-0.175,3.31,1.0,MIXED_MASTER_ONLY,168190
7.754,snare,high,0.95,5051,0.212,2.269,8.418,0.788,MIXED_MASTER_ONLY,168380
6.621,snare,high,0.95,5063,0.146,1.026,6.022,0.854,MIXED_MASTER_ONLY,168780
4.457,snare,high,0.95,5069,0.159,0.874,4.638,0.841,MIXED_MASTER_ONLY,168980
2.488,snare,medium,0.829,5081,0.293,1.215,2.928,0.707,MIXED_MASTER_ONLY,169360
2.567,snare,high,0.95,5090,0.0,-0.68,3.291,1.0,MIXED_MASTER_ONLY,169670
3.022,snare,high,0.95,5108,0.0,-1.511,3.378,1.0,MIXED_MASTER_ONLY,170250
2.72,snare,medium,0.95,5138,0.0,-0.238,2.919,1.0,MIXED_MASTER_ONLY,171250
2.405,snare,high,0.95,5145,0.0,-0.071,3.477,1.0,MIXED_MASTER_ONLY,171490
2.462,snare,high,0.95,5151,0.09,0.39,3.925,0.91,MIXED_MASTER_ONLY,171700
2.948,snare,high,0.95,5170,0.0,-0.01,4.552,1.0,MIXED_MASTER_ONLY,172330
2.547,snare,high,0.95,5180,0.0,-0.018,3.483,1.0,MIXED_MASTER_ONLY,172650
3.625,snare,high,0.95,5187,0.0,-0.852,4.132,1.0,MIXED_MASTER_ONLY,172890
2.996,snare,high,0.95,5195,0.0,-0.422,4.053,1.0,MIXED_MASTER_ONLY,173180
2.857,snare,high,0.95,5222,0.198,0.818,3.323,0.802,MIXED_MASTER_ONLY,174050
2.497,snare,high,0.95,5225,0.0,-1.05,3.518,1.0,MIXED_MASTER_ONLY,174180
2.568,snare,high,0.95,5237,0.0,-0.469,4.249,1.0,MIXED_MASTER_ONLY,174580
2.678,snare,high,0.95,5273,0.0,-1.511,3.128,1.0,MIXED_MASTER_ONLY,175780
2.55,snare,high,0.85,5280,0.288,1.249,3.089,0.712,MIXED_MASTER_ONLY,176010
2.597,snare,medium,0.767,5315,0.317,1.166,2.515,0.683,MIXED_MASTER_ONLY,177180
3.363,snare,high,0.95,5319,0.161,0.766,3.988,0.839,MIXED_MASTER_ONLY,177300
2.723,snare,high,0.95,5328,0.012,0.039,3.206,0.988,MIXED_MASTER_ONLY,177590
3.092,snare,high,0.95,5339,0.056,0.248,4.169,0.944,MIXED_MASTER_ONLY,177980
3.063,snare,medium,0.858,5374,0.216,0.696,2.527,0.784,MIXED_MASTER_ONLY,179150
2.839,snare,high,0.95,5381,0.0,-1.264,4.821,1.0,MIXED_MASTER_ONLY,179370
3.085,snare,high,0.95,5386,0.048,0.18,3.554,0.952,MIXED_MASTER_ONLY,179530
3.029,snare,high,0.892,5406,0.253,1.087,3.201,0.747,MIXED_MASTER_ONLY,180200
2.693,snare,high,0.95,5411,0.0,-0.841,3.886,1.0,MIXED_MASTER_ONLY,180380
6.072,snare,high,0.95,5423,0.0,-0.24,5.871,1.0,MIXED_MASTER_ONLY,180760
5.37,snare,high,0.918,5447,0.353,2.377,4.357,0.647,MIXED_MASTER_ONLY,181560
5.139,snare,high,0.95,5453,0.224,1.598,5.541,0.776,MIXED_MASTER_ONLY,181770
2.92,snare,high,0.863,5458,0.298,1.408,3.315,0.702,MIXED_MASTER_ONLY,181930
3.235,snare,high,0.95,5464,0.0,-0.956,3.193,1.0,MIXED_MASTER_ONLY,182140
6.44,snare,high,0.95,5471,0.265,2.348,6.502,0.735,MIXED_MASTER_ONLY,182380
2.874,snare,high,0.95,5476,0.201,0.991,3.941,0.799,MIXED_MASTER_ONLY,182520
6.342,snare,high,0.95,5483,0.307,2.47,5.572,0.693,MIXED_MASTER_ONLY,182780
2.93,snare,high,0.95,5490,0.202,1.012,4.001,0.798,MIXED_MASTER_ONLY,182990
7.18,snare,high,0.95,5495,0.026,0.162,6.17,0.974,MIXED_MASTER_ONLY,183180
2.709,snare,high,0.95,5499,0.172,0.735,3.525,0.828,MIXED_MASTER_ONLY,183310
6.364,snare,high,0.95,5513,0.289,2.375,5.845,0.711,MIXED_MASTER_ONLY,183780
7.24,snare,high,0.95,5531,0.246,2.362,7.256,0.754,MIXED_MASTER_ONLY,184380
7.991,snare,high,0.95,5543,0.125,1.053,7.371,0.875,MIXED_MASTER_ONLY,184780
3.213,snare,medium,0.95,5552,0.155,0.547,2.984,0.845,MIXED_MASTER_ONLY,185070
6.227,snare,high,0.95,5567,0.218,1.837,6.603,0.782,MIXED_MASTER_ONLY,185580
4.083,snare,high,0.95,5573,0.186,1.318,5.767,0.814,MIXED_MASTER_ONLY,185770
6.232,snare,high,0.95,5579,0.275,2.311,6.107,0.725,MIXED_MASTER_ONLY,185980
7.096,snare,high,0.95,5591,0.124,0.85,6.005,0.876,MIXED_MASTER_ONLY,186380
3.338,kick,medium,0.841,5604,0.788,2.319,0.625,0.212,MIXED_MASTER_ONLY,186790
7.596,snare,high,0.95,5609,0.209,2.204,8.326,0.791,MIXED_MASTER_ONLY,186980
3.145,snare,high,0.95,5621,0.0,-0.185,4.213,1.0,MIXED_MASTER_ONLY,187380
7.539,snare,high,0.95,5627,0.214,2.175,7.968,0.786,MIXED_MASTER_ONLY,187580
7.386,snare,high,0.95,5639,0.155,1.151,6.263,0.845,MIXED_MASTER_ONLY,187980
4.343,snare,high,0.95,5646,0.0,-0.786,6.644,1.0,MIXED_MASTER_ONLY,188210
2.651,snare,high,0.898,5652,0.259,1.155,3.307,0.741,MIXED_MASTER_ONLY,188400
6.531,snare,high,0.95,5663,0.256,2.266,6.601,0.744,MIXED_MASTER_ONLY,188780
6.569,snare,high,0.95,5675,0.254,2.254,6.608,0.746,MIXED_MASTER_ONLY,189180
7.393,snare,high,0.95,5687,0.121,0.949,6.869,0.879,MIXED_MASTER_ONLY,189580
6.619,snare,high,0.95,5705,0.253,2.256,6.667,0.747,MIXED_MASTER_ONLY,190180
7.453,snare,high,0.95,5723,0.241,2.381,7.49,0.759,MIXED_MASTER_ONLY,190780
7.469,snare,high,0.95,5735,0.0,-0.585,6.47,1.0,MIXED_MASTER_ONLY,191180
2.916,snare,high,0.95,5753,0.013,0.043,3.259,0.987,MIXED_MASTER_ONLY,191760
6.346,snare,high,0.95,5759,0.25,2.193,6.575,0.75,MIXED_MASTER_ONLY,191980
6.619,snare,high,0.95,5771,0.286,2.504,6.258,0.714,MIXED_MASTER_ONLY,192380
7.106,snare,high,0.95,5783,0.088,0.559,5.78,0.912,MIXED_MASTER_ONLY,192780
3.124,kick,medium,0.823,5796,0.777,2.233,0.64,0.223,MIXED_MASTER_ONLY,193190
7.284,snare,high,0.95,5801,0.185,1.898,8.388,0.815,MIXED_MASTER_ONLY,193380
2.735,snare,high,0.95,5813,0.162,0.675,3.491,0.838,MIXED_MASTER_ONLY,193780
6.388,snare,high,0.95,5819,0.183,1.637,7.317,0.817,MIXED_MASTER_ONLY,193980
7.085,snare,high,0.95,5831,0.0,-0.575,6.496,1.0,MIXED_MASTER_ONLY,194380
4.128,snare,high,0.95,5837,0.223,1.251,4.351,0.777,MIXED_MASTER_ONLY,194580
6.834,snare,high,0.95,5855,0.264,2.424,6.743,0.736,MIXED_MASTER_ONLY,195180
6.433,snare,high,0.95,5867,0.262,2.242,6.32,0.738,MIXED_MASTER_ONLY,195580
7.316,snare,high,0.95,5879,0.099,0.696,6.344,0.901,MIXED_MASTER_ONLY,195980
2.807,snare,high,0.919,5888,0.274,1.383,3.658,0.726,MIXED_MASTER_ONLY,196260
6.391,snare,high,0.95,5897,0.283,2.365,6.004,0.717,MIXED_MASTER_ONLY,196580
7.055,snare,high,0.95,5915,0.248,2.309,7.018,0.752,MIXED_MASTER_ONLY,197180
8.059,snare,high,0.95,5927,0.104,0.879,7.553,0.896,MIXED_MASTER_ONLY,197580
2.978,snare,high,0.95,5936,0.168,0.747,3.704,0.832,MIXED_MASTER_ONLY,197880
6.003,snare,high,0.95,5951,0.254,2.051,6.023,0.746,MIXED_MASTER_ONLY,198380
3.353,snare,high,0.95,5956,0.0,-1.063,5.778,1.0,MIXED_MASTER_ONLY,198520
6.517,snare,high,0.95,5963,0.277,2.358,6.161,0.723,MIXED_MASTER_ONLY,198780
7.178,snare,high,0.95,5975,0.063,0.393,5.883,0.937,MIXED_MASTER_ONLY,199180
3.747,snare,high,0.95,5983,0.163,1.083,5.552,0.837,MIXED_MASTER_ONLY,199420
2.961,snare,high,0.834,5987,0.314,1.451,3.167,0.686,MIXED_MASTER_ONLY,199580
8.272,snare,high,0.95,5993,0.211,2.416,9.028,0.789,MIXED_MASTER_ONLY,199780
3.035,snare,high,0.95,6005,0.011,0.044,4.017,0.989,MIXED_MASTER_ONLY,200180
7.576,snare,high,0.95,6011,0.208,2.116,8.074,0.792,MIXED_MASTER_ONLY,200380
7.841,snare,high,0.95,6023,0.146,1.196,6.995,0.854,MIXED_MASTER_ONLY,200780
2.837,snare,high,0.95,6033,0.0,-0.198,4.775,1.0,MIXED_MASTER_ONLY,201110
6.329,snare,high,0.95,6047,0.259,2.185,6.265,0.741,MIXED_MASTER_ONLY,201580
6.307,snare,high,0.95,6059,0.213,1.89,6.974,0.787,MIXED_MASTER_ONLY,201980
7.444,snare,high,0.95,6071,0.099,0.758,6.88,0.901,MIXED_MASTER_ONLY,202380
2.608,snare,high,0.95,6083,0.109,0.427,3.483,0.891,MIXED_MASTER_ONLY,202780
6.184,snare,high,0.95,6089,0.242,2.169,6.804,0.758,MIXED_MASTER_ONLY,202980
6.995,snare,high,0.95,6107,0.228,2.251,7.641,0.772,MIXED_MASTER_ONLY,203580
8.278,snare,high,0.95,6119,0.08,0.678,7.787,0.92,MIXED_MASTER_ONLY,203980
7.757,snare,high,0.95,6143,0.192,1.527,6.425,0.808,MIXED_MASTER_ONLY,204780
2.519,snare,high,0.95,6147,0.103,0.436,3.78,0.897,MIXED_MASTER_ONLY,204910
2.442,kick,medium,0.639,6160,0.637,1.658,0.945,0.363,MIXED_MASTER_ONLY,205350
3.31,snare,high,0.95,6167,0.0,-0.978,4.915,1.0,MIXED_MASTER_ONLY,205570
8.334,snare,high,0.95,6179,0.203,1.963,7.692,0.797,MIXED_MASTER_ONLY,205980
5.707,snare,high,0.95,6185,0.082,0.707,7.908,0.918,MIXED_MASTER_ONLY,206180
2.728,snare,high,0.95,6197,0.009,0.033,3.475,0.991,MIXED_MASTER_ONLY,206580
8.647,snare,high,0.95,6203,0.171,1.765,8.536,0.829,MIXED_MASTER_ONLY,206780
8.084,snare,high,0.95,6215,0.213,2.017,7.436,0.787,MIXED_MASTER_ONLY,207180
4.993,snare,high,0.95,6221,0.136,0.829,5.261,0.864,MIXED_MASTER_ONLY,207380
2.402,kick,medium,0.683,6226,0.653,1.952,1.035,0.347,MIXED_MASTER_ONLY,207540
