broadband_robust_z,classification,confidence,confidence_score,frame_30fps,kick_ratio,low_band_robust_z,snare_band_robust_z,snare_ratio,source,time_ms
8.205,snare,high,0.95,1895,0.138,1.185,7.403,0.862,MIXED_MASTER_ONLY,63180
7.054,snare,high,0.95,1919,0.253,2.466,7.294,0.747,MIXED_MASTER_ONLY,63980
3.2,snare,high,0.95,1923,0.226,1.19,4.084,0.774,MIXED_MASTER_ONLY,64110
2.894,uncertain,low,0.549,1987,0.458,1.364,1.611,0.542,MIXED_MASTER_ONLY,66230
6.52,snare,high,0.95,2015,0.25,2.224,6.68,0.75,MIXED_MASTER_ONLY,67180
6.797,snare,high,0.95,2075,0.21,1.916,7.189,0.79,MIXED_MASTER_ONLY,69180
8.164,snare,high,0.95,2087,0.114,0.94,7.272,0.886,MIXED_MASTER_ONLY,69580
5.851,snare,high,0.95,2093,0.181,1.256,5.693,0.819,MIXED_MASTER_ONLY,69780
7.3,snare,high,0.95,2111,0.193,1.987,8.296,0.807,MIXED_MASTER_ONLY,70380
5.627,snare,high,0.95,2123,0.253,1.979,5.849,0.747,MIXED_MASTER_ONLY,70780
7.368,snare,high,0.95,2135,0.121,0.936,6.78,0.879,MIXED_MASTER_ONLY,71180
6.933,snare,high,0.95,2153,0.247,2.402,7.338,0.753,MIXED_MASTER_ONLY,71780
7.597,snare,high,0.95,2171,0.247,2.481,7.564,0.753,MIXED_MASTER_ONLY,72380
8.549,snare,high,0.95,2183,0.141,1.22,7.449,0.859,MIXED_MASTER_ONLY,72780
7.297,snare,high,0.95,2207,0.23,2.299,7.706,0.77,MIXED_MASTER_ONLY,73580
6.525,snare,high,0.95,2219,0.232,2.083,6.878,0.768,MIXED_MASTER_ONLY,73980
7.209,snare,high,0.95,2231,0.082,0.564,6.348,0.918,MIXED_MASTER_ONLY,74380
2.484,snare,medium,0.872,2244,0.173,0.478,2.278,0.827,MIXED_MASTER_ONLY,74790
6.875,snare,high,0.95,2249,0.294,2.572,6.188,0.706,MIXED_MASTER_ONLY,74980
6.919,snare,high,0.95,2267,0.254,2.381,6.986,0.746,MIXED_MASTER_ONLY,75580
7.993,snare,high,0.95,2279,0.112,0.865,6.855,0.888,MIXED_MASTER_ONLY,75980
2.644,snare,high,0.95,2297,0.0,-0.646,3.512,1.0,MIXED_MASTER_ONLY,76580
7.437,snare,high,0.95,2303,0.236,2.433,7.873,0.764,MIXED_MASTER_ONLY,76780
7.657,snare,high,0.95,2315,0.223,2.319,8.089,0.777,MIXED_MASTER_ONLY,77180
8.349,snare,high,0.95,2327,0.121,0.995,7.253,0.879,MIXED_MASTER_ONLY,77580
7.719,snare,high,0.95,2345,0.246,2.565,7.88,0.754,MIXED_MASTER_ONLY,78180
7.98,snare,high,0.95,2363,0.237,2.549,8.227,0.763,MIXED_MASTER_ONLY,78780
8.368,snare,high,0.95,2375,0.13,1.112,7.467,0.87,MIXED_MASTER_ONLY,79180
7.153,snare,high,0.95,2399,0.232,2.233,7.378,0.768,MIXED_MASTER_ONLY,79980
7.124,snare,high,0.95,2411,0.243,2.315,7.2,0.757,MIXED_MASTER_ONLY,80380
7.561,snare,high,0.95,2423,0.144,1.078,6.431,0.856,MIXED_MASTER_ONLY,80780
6.634,snare,high,0.95,2441,0.263,2.332,6.518,0.737,MIXED_MASTER_ONLY,81380
7.228,snare,high,0.95,2459,0.268,2.515,6.886,0.732,MIXED_MASTER_ONLY,81980
8.54,snare,high,0.95,2471,0.113,1.022,8.05,0.887,MIXED_MASTER_ONLY,82380
7.546,snare,high,0.95,2495,0.227,2.444,8.298,0.773,MIXED_MASTER_ONLY,83180
7.017,snare,high,0.95,2507,0.243,2.351,7.33,0.757,MIXED_MASTER_ONLY,83580
7.861,snare,high,0.95,2519,0.114,0.955,7.452,0.886,MIXED_MASTER_ONLY,83980
6.622,snare,high,0.95,2537,0.236,2.24,7.27,0.764,MIXED_MASTER_ONLY,84580
7.702,snare,high,0.95,2555,0.234,2.394,7.818,0.766,MIXED_MASTER_ONLY,85180
8.265,snare,high,0.95,2567,0.139,1.213,7.502,0.861,MIXED_MASTER_ONLY,85580
2.502,snare,medium,0.674,2580,0.375,1.27,2.117,0.625,MIXED_MASTER_ONLY,85990
7.394,snare,high,0.95,2591,0.236,2.43,7.865,0.764,MIXED_MASTER_ONLY,86380
6.67,snare,high,0.95,2603,0.247,2.251,6.853,0.753,MIXED_MASTER_ONLY,86780
7.549,snare,high,0.95,2615,0.073,0.539,6.858,0.927,MIXED_MASTER_ONLY,87180
6.936,snare,high,0.95,2633,0.272,2.496,6.665,0.728,MIXED_MASTER_ONLY,87780
7.34,snare,high,0.95,2651,0.219,2.223,7.926,0.781,MIXED_MASTER_ONLY,88380
8.405,snare,high,0.95,2663,0.142,1.233,7.459,0.858,MIXED_MASTER_ONLY,88780
8.303,snare,high,0.95,2783,0.24,2.652,8.376,0.76,MIXED_MASTER_ONLY,92780
7.315,snare,high,0.95,2795,0.231,2.278,7.596,0.769,MIXED_MASTER_ONLY,93180
8.131,snare,high,0.95,2807,0.149,1.279,7.279,0.851,MIXED_MASTER_ONLY,93580
7.068,snare,high,0.95,2825,0.23,2.248,7.54,0.77,MIXED_MASTER_ONLY,94180
7.282,snare,high,0.95,2843,0.253,2.508,7.415,0.747,MIXED_MASTER_ONLY,94780
8.284,snare,high,0.95,2855,0.068,0.533,7.253,0.932,MIXED_MASTER_ONLY,95180
6.913,snare,high,0.95,2879,0.259,2.454,7.03,0.741,MIXED_MASTER_ONLY,95980
7.379,snare,high,0.95,2891,0.253,2.467,7.303,0.747,MIXED_MASTER_ONLY,96380
8.202,snare,high,0.95,2903,0.15,1.253,7.092,0.85,MIXED_MASTER_ONLY,96780
6.988,snare,high,0.95,2921,0.262,2.562,7.22,0.738,MIXED_MASTER_ONLY,97380
7.138,snare,high,0.95,2939,0.228,2.299,7.8,0.772,MIXED_MASTER_ONLY,97980
8.151,snare,high,0.95,2951,0.111,0.966,7.758,0.889,MIXED_MASTER_ONLY,98380
7.748,snare,high,0.95,2975,0.233,2.43,8.014,0.767,MIXED_MASTER_ONLY,99180
6.438,snare,high,0.95,2987,0.261,2.272,6.428,0.739,MIXED_MASTER_ONLY,99580
7.965,snare,high,0.95,2999,0.132,1.081,7.086,0.868,MIXED_MASTER_ONLY,99980
7.327,snare,high,0.95,3017,0.258,2.505,7.196,0.742,MIXED_MASTER_ONLY,100580
7.438,snare,high,0.95,3035,0.226,2.23,7.642,0.774,MIXED_MASTER_ONLY,101180
8.038,snare,high,0.95,3047,0.118,0.976,7.278,0.882,MIXED_MASTER_ONLY,101580
6.46,snare,high,0.95,3071,0.229,2.034,6.841,0.771,MIXED_MASTER_ONLY,102380
7.255,snare,high,0.95,3083,0.263,2.519,7.056,0.737,MIXED_MASTER_ONLY,102780
