file,width,height,full_mean_luma,full_p95_luma,full_p99_luma,center_mean_luma,center_p95_luma,center_p99_luma,center_mean_chroma,outer_mean_chroma
frame_12.5.png,1080,1920,0.396187,0.654488,0.685809,0.483962,0.656475,0.668554,0.198355,0.070101
frame_17.5.png,1080,1920,0.393138,0.638539,0.675347,0.477561,0.639739,0.650634,0.193493,0.068721
frame_2.5.png,1080,1920,0.409941,0.646557,0.683705,0.515198,0.660926,0.679726,0.236597,0.075720
frame_22.5.png,1080,1920,0.333622,0.637911,0.740574,0.425228,0.643155,0.659882,0.145584,0.025641
frame_27.5.png,1080,1920,0.332453,0.626151,0.741738,0.421369,0.627728,0.643362,0.142106,0.025404
frame_32.5.png,1080,1920,0.385235,0.640082,0.741386,0.479280,0.648986,0.709118,0.180329,0.041466
frame_37.5.png,1080,1920,0.383433,0.629082,0.738468,0.474229,0.633455,0.700889,0.176018,0.040893
frame_7.5.png,1080,1920,0.406493,0.632893,0.675548,0.507520,0.643840,0.664154,0.230532,0.074497
