candidate_id,name,path,block,identity_confirmed,TYPE,MUSIC_READY,LYRICS_READY,VOCALS_READY,MIX_MASTER_READY,REVISION_REQUIRED,LIVE_READY,PRIORITY,NEXT_ACTION,ACTION_OWNER
cat2_f8d34f150d2fb8c0,Har kisi ko,Har kisi ko,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_25bdfeaf7d790f69,Heeriye,Heeriye,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_9f471552913e7785,Hua Mein,Hua Mein,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b3ce77feab47711c,Intro beat,Intro beat,ambiguous_identity,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_8226399e711d0a9e,Jaanam,Jaanam,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_19e92cf29661d9ff,Jaate hue lamhon,Jaate hue lamhon,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_9c703ca993d3bd73,Jee Le Zara,Jee Le Zara,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_dfa717181359d1ff,Jenna Sikha De,Jenna Sikha De,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2fe20d4c7721b634,Kahani Suno,Kahani Suno,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_72021be2452fdf27,Kaise Hua,Kaise Hua,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_a2a636a02c99c082,Kalank,Kalank,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_c880f769b3999d0b,Kesariya,Kesariya,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f07c6976c30a8456,Khairiyat,Khairiyat,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b642a520783d1ddc,Khoobsurat,Khoobsurat,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_685800823f5c325e,Love mashups ,Love mashups ,mashup_medley_named_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f0cbbcd0f7d53566,Main Gira,Main Gira,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_49b256ae53f5b65b,Mann Ki Lagan,Mann Ki Lagan,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_19ffb1e90e957e5a,Mehram,Mehram,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d97ef8bda61557fa,Mere bina Labon ko,Mere bina Labon ko,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_091f4fce6f889c00,Mere Mehboob,Mere Mehboob,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_823dcfaf0a8be169,asma mastered_01.wav,NITIN 2008/asma mastered_01.wav,nitin_2008_children,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_e526065897b54f07,KHAN KHAN MASTERED.wav,NITIN 2008/KHAN KHAN MASTERED.wav,nitin_2008_children,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b51082b1c9ad2a98,KHILTA GHUL MASTERED.wav,NITIN 2008/KHILTA GHUL MASTERED.wav,nitin_2008_children,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_9e83d55d3d3b9604,khud se mastered.wav,NITIN 2008/khud se mastered.wav,nitin_2008_children,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_91a182b555222b59,raeena mastered.wav,NITIN 2008/raeena mastered.wav,nitin_2008_children,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_a771c4c946c5174e,SANIYA MASTERED_00.wav,NITIN 2008/SANIYA MASTERED_00.wav,nitin_2008_children,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_e33fdd193b68cbe2,tum sabse mastered.wav,NITIN 2008/tum sabse mastered.wav,nitin_2008_children,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_0f2352dc32122b2e,ye raat mastered_00.wav,NITIN 2008/ye raat mastered_00.wav,nitin_2008_children,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
