file,width,height,full_mean_luma,full_p95_luma,full_p99_luma,center_mean_luma,center_p95_luma,center_p99_luma,center_mean_chroma,outer_mean_chroma
frame_12.5.png,1080,1920,0.446092,0.734429,0.761182,0.546123,0.737620,0.751744,0.279636,0.104908
frame_17.5.png,1080,1920,0.438325,0.706613,0.733066,0.532643,0.708706,0.719807,0.268052,0.100551
frame_2.5.png,1080,1920,0.460990,0.724459,0.757725,0.580714,0.740445,0.759354,0.330441,0.110945
frame_22.5.png,1080,1920,0.373404,0.711299,0.789830,0.478708,0.719374,0.738251,0.205669,0.040922
frame_27.5.png,1080,1920,0.368698,0.690694,0.774444,0.469815,0.697339,0.710136,0.198834,0.039159
frame_32.5.png,1080,1920,0.431957,0.713559,0.794547,0.539401,0.725389,0.773910,0.254918,0.063408
frame_37.5.png,1080,1920,0.425711,0.691425,0.775540,0.528111,0.701627,0.749951,0.245099,0.060606
frame_7.5.png,1080,1920,0.452566,0.699104,0.729842,0.565615,0.713292,0.729676,0.317712,0.106330
