file,width,height,full_mean_luma,full_p95_luma,full_p99_luma,center_mean_luma,center_p95_luma,center_p99_luma,center_mean_chroma,outer_mean_chroma
frame_12.5.png,1080,1920,0.448381,0.748355,0.780457,0.550080,0.752908,0.770156,0.286003,0.107130
frame_17.5.png,1080,1920,0.446058,0.734263,0.761115,0.546096,0.737387,0.751345,0.279855,0.104592
frame_2.5.png,1080,1920,0.463367,0.736059,0.775406,0.585173,0.753838,0.777566,0.336286,0.113600
frame_22.5.png,1080,1920,0.374783,0.719707,0.815951,0.480624,0.727849,0.753738,0.208744,0.042200
frame_27.5.png,1080,1920,0.373496,0.711631,0.791027,0.478583,0.719640,0.738384,0.205879,0.040924
frame_32.5.png,1080,1920,0.433807,0.722963,0.822764,0.542587,0.736257,0.798902,0.259707,0.065156
frame_37.5.png,1080,1920,0.432032,0.713658,0.795381,0.539442,0.725389,0.773545,0.254879,0.063413
frame_7.5.png,1080,1920,0.460927,0.724724,0.758058,0.580657,0.740445,0.759687,0.330342,0.110766
